Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Lukas Walton,15.6,United States,Walmart,127,34,"Jackson, Wyoming",United States,Single,,"Bachelor of Arts/Science, Colorado College",FALSE,POINT (-110.761815 43.479965)
Bobby Murphy,11.9,United States,Snapchat,185,32,"Venice, California",United States,Single,,"Bachelor of Arts/Science, Stanford University",TRUE,POINT (-118.4615272 33.9883349)
Evan Spiegel,11.1,United States,Snapchat,197,30,"Los Angeles, California",United States,Married,2,"Bachelor of Science, Stanford University",TRUE,POINT (-118.242766 34.0536909)
Sam Bankman-Fried,8.7,United States,cryptocurrency,274,29,"Hong Kong, Hong Kong",United States,,,"Bachelor of Arts/Science, Massachusetts Institute of Technology",,POINT (114.1628131 22.2793278)
Wang Ning & family,6.3,China,toys,421,34,"Beijing, China",China,Married,,,TRUE,POINT (116.3912757 39.906217)
Kevin David Lehmann,3.3,Germany,drugstores,925,18,,Germany,,,,FALSE,POINT (10.4234469 51.0834196)
Austin Russell,2.4,United States,?,1299,26,"Los Altos, California",United States,Single,,"Drop Out, Stanford University",TRUE,POINT (-122.116578 37.3790629)
Andy Fang,2,United States,food delivery app,1580,28,"MONTE VISTA, California",United States,,,"Bachelor of Arts/Science, Stanford University",TRUE,POINT (-120.8327162 39.1865648)
Stanley Tang,2,United States,food delivery app,1580,28,"San Francisco, California",United States,,,"Bachelor of Arts/Science, Stanford University",TRUE,POINT (-122.419906 37.7790262)
Fred Ehrsam,1.9,United States,cryptocurrency exchange,1664,32,"Miami, Florida",United States,,,"Bachelor of Science, Duke Univeristy",TRUE,POINT (-80.19362 25.7741728)
Eva Maria Braun-Luedicke,1.6,Germany,medical technology,1931,34,"Melsungen, Germany",Germany,,,,FALSE,POINT (9.5437136 51.1298048)
Lisa Draexlmaier,1.6,Germany,auto parts,1931,30,,Germany,,,,FALSE,POINT (10.4234469 51.0834196)
Wang Zelong,1.5,China,chemicals,2035,24,"Jiaozuo, China",China,Married,,,FALSE,POINT (113.2533977 35.2075729)
Wen Yilong,1.5,China,e-cigarettes,2035,32,"Beijing, China",China,,,,TRUE,POINT (116.3912757 39.906217)
Ludwig Theodor Braun,1.3,Germany,medical technology,2263,31,"Melsungen, Germany",Germany,,,,FALSE,POINT (9.5437136 51.1298048)
Whitney Wolfe Herd,1.3,United States,dating app,2263,31,"Austin, Texas",United States,Married,1,"Bachelor of Arts/Science, Southern Methodist University",TRUE,POINT (-97.74369950000001 30.2711286)
Wang Han,1.1,China,airline,2524,33,"Shanghai, China",China,,,,FALSE,POINT (121.4692071 31.2322758)
Vlad Tenev,1,United States,stock trading,2674,34,"Palo Alto, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University",TRUE,POINT (-122.1598465 37.4443293)
